NOM_PRODUITS,PROPRIETES_PRODUITS,CONTENANCE_PRODUITS,PRIX_PRODUITS
Amande (Prunus dulcis),,50,4
Arachide50 (Arachis hypogaea),,50,3.5
Arachide100 (Arachis hypogaea),,100,6.5
Arachide250 (Arachis hypogaea),,250,14.5
Basilic30,,30,4.5
Basilic50,,50,7
Caméline (Camelina sativa),,100,5.5
Carottes5,,5,6
Carottes10,,10,10
Carthame100 (Carthamus tinctorius),,100,4.5
Carthame250  (Carthamus tinctorius),,250,11
Chanvre50 (Cannabis sativa ssp. Sativa),,50,3.75
Chanvre100 (Cannabis sativa ssp. Sativa),,100,6.5
Chanvre250 (Cannabis sativa ssp. Sativa),,250,16.5
Colza100,,100,6
Colza250,,250,16
Laitue blanche50 (Lactuca sativa),,50,5.5
Laitue blanche100 (Lactuca sativa),,100,10
Lin50 (Linum usitatissimum),,50,3
Lin100 (Linum usitatissimum),,100,5.5
Lin250 (Linum usitatissimum),,250,13
Navette50 (Turnip rape),,50,4
Navette100 (Turnip rape),,100,7.5
Navette250 (Turnip rape),,250,17
Nigelle ou cumin noir50 (Nigella sativa),,50,5.5
Nigelle ou cumin noir100 (Nigella sativa),,100,10
Niger50 (Guizotia abyssinica) ,,50,3.5
Niger100 (Guizotia abyssinica) ,,100,6.5
Niger250 (Guizotia abyssinica) ,,250,
Noisette50 (Corylus avellana),,50,3.75
Noisette100 (Corylus avellana),,100,6.5
Noisette250 (Corylus avellana),,250,15
Noix commune50 (Juglans regia),,50,3
Noix commune100 (Juglans regia),,100,5.5
Noix commune250 (Juglans regia),,250,12.5
Noix tigrée ou souchet50 (Cyperus esculentus),,50,4.5
Noix tigrée ou souchet100 (Cyperus esculentus),,100,8
Sésame50 (Sesamum indicum),,50,3.75
Sésame100 (Sesamum indicum),,100,5.5
Sésame250 (Sesamum indicum),,250,12
Soja50 (Glycine max),,50,3.25
Soja100 (Glycine max),,100,6.5
